emp_id,first_name,last_name,department,salary,hire_date,active
E10001,Omar,Okafor,Engineering,12686.95,2023-03-04,True
E10002,Ines,Okafor,Engineering,7713.67,2018-09-03,True
E10003,Amara,Schmidt,Support,10240.93,2026-07-19,False
E10004,Jonas,Okafor,Sales,5865.69,2024-01-05,True
E10005,Hugo,Schmidt,Support,6927.86,2022-09-18,True
E10006,Ines,Dubois,Legal,12121.85,2018-10-15,True
E10007,Lena,Silva,Sales,11118.1,2025-06-08,True
E10008,Sara,Petrov,People,5844.24,2022-09-03,True
E10009,Mateo,Rossi,People,7560.39,2024-03-22,True
E10010,Mateo,Larsen,People,9590.06,2026-06-15,True
E10011,Sara,Kowalski,Finance,11530.77,2019-05-10,True
E10012,Omar,Larsen,Finance,14218.52,2025-05-12,True
E10013,Amara,Novak,Marketing,3809.44,2019-08-08,True
E10014,Hugo,Ibrahim,Legal,9199.31,2025-02-05,True
E10015,Priya,Larsen,Legal,14437.69,2026-05-05,True
E10016,Jonas,Nair,People,12812.93,2020-04-06,True
E10017,Priya,Sato,Operations,9973.89,2018-03-11,False
E10018,Rafael,Sato,Legal,7257.23,2026-01-13,True
E10019,Ines,Kowalski,Support,7803.24,2024-01-04,True
E10020,Aarav,Rossi,Engineering,14325.01,2018-02-20,True
E10021,Omar,Rossi,Marketing,14408.65,2021-10-20,True
E10022,Sara,Ibrahim,People,8357.6,2019-02-03,True
E10023,Kofi,Dubois,Sales,8774.57,2023-12-07,False
E10024,Fatima,Sato,Finance,11876.97,2026-06-10,False
E10025,Kofi,Moreau,Operations,13802.96,2019-12-12,True
E10026,Tomasz,Petrov,Support,10017.72,2026-09-26,False
E10027,Omar,Silva,Support,8791.3,2021-04-12,True
E10028,Sara,Tanaka,Support,11035.06,2018-05-12,True
E10029,Chen,Silva,Engineering,5060.43,2023-06-07,True
E10030,Zofia,Nair,People,13815.03,2025-10-12,True
E10031,Elena,Costa,Support,8283.16,2019-11-06,True
E10032,Omar,Ibrahim,Legal,11687.22,2023-02-03,True
E10033,Aarav,Rossi,People,12497.42,2020-03-05,True
E10034,Nadia,Rossi,Sales,2424.52,2025-11-26,False
E10035,Fatima,Nakamura,Support,12749.57,2019-09-07,True
E10036,Tomasz,Silva,Operations,5477.65,2021-05-14,True
E10037,Nadia,Ibrahim,Legal,12762.2,2018-12-17,True
E10038,Tomasz,Nair,People,12112.57,2020-09-20,True
E10039,Fatima,Dubois,Engineering,9289.58,2020-03-11,True
E10040,Sara,Schmidt,Finance,5338.18,2026-09-09,True
E10041,Rafael,Sato,Finance,11900.71,2019-09-03,True
E10042,Ines,Tanaka,People,8669.64,2026-09-26,True
E10043,Tomasz,Tanaka,Support,12927.2,2021-12-05,True
E10044,Mateo,Kowalski,Support,7645.59,2024-08-07,True
E10045,Nadia,Rossi,Marketing,13476.75,2019-03-15,True
E10046,Sara,Haddad,Support,4221.61,2019-07-14,False
E10047,Priya,Novak,Operations,6236.68,2024-06-24,True
E10048,Rafael,Ibrahim,Finance,7081.14,2023-09-17,True
E10049,Elena,Silva,Engineering,3228.51,2026-02-09,True
E10050,Fatima,Nakamura,Marketing,7358.31,2020-05-18,False
E10051,Mateo,Kowalski,Marketing,2888.07,2025-12-23,True
E10052,Aarav,Kowalski,Marketing,3224.42,2019-05-28,True
E10053,Rafael,Nair,Operations,14906.94,2022-02-14,False
E10054,Fatima,Okafor,Support,14186.16,2022-10-06,True
E10055,Lena,Mensah,Support,5870.2,2020-04-17,True
E10056,Aarav,Tanaka,Finance,2346.89,2022-06-24,True
E10057,Sara,Silva,People,3513.59,2021-09-27,True
E10058,Omar,Moreau,Marketing,10973.73,2025-09-08,True
E10059,Nadia,Okafor,Sales,2332.89,2020-07-21,True
E10060,Hugo,Okafor,Engineering,10684.87,2022-07-13,False
E10061,Jonas,Mensah,Finance,8044.78,2022-10-06,True
E10062,Nadia,Petrov,Operations,5286.25,2018-05-10,True
E10063,Mateo,Costa,Engineering,8239.68,2020-01-17,True
E10064,Aarav,Kowalski,Marketing,12632.68,2021-09-05,True
E10065,Aarav,Mensah,Marketing,10228.66,2018-07-03,True
E10066,Zofia,Costa,Operations,11396.29,2026-03-16,True
E10067,Tomasz,Nakamura,Sales,13823.86,2020-01-25,True
E10068,Viktor,Silva,Engineering,2549.79,2018-11-05,True
E10069,Rafael,Sato,Finance,10204.25,2019-07-21,True
E10070,Kofi,Nair,People,12384.46,2021-08-24,False
E10071,Tomasz,Kowalski,People,5385.64,2026-02-03,True
E10072,Ines,Silva,People,8487.36,2021-12-13,True
E10073,Zofia,Novak,Engineering,9844.22,2022-01-11,True
E10074,Viktor,Rossi,Finance,8339.46,2022-10-16,True
E10075,Ines,Dubois,Marketing,11244.81,2019-12-10,True
E10076,Uma,Novak,Marketing,14699.35,2025-02-16,True
E10077,Tomasz,Ibrahim,Marketing,7113.26,2025-02-07,True
E10078,Tomasz,Tanaka,Operations,3851.32,2019-03-27,True
E10079,Nadia,Silva,People,13667.56,2022-02-16,True
E10080,Sara,Ibrahim,Legal,6024.03,2020-01-05,True
E10081,Elena,Petrov,Finance,6313.95,2024-06-11,True
E10082,Aarav,Mensah,Marketing,6925.61,2019-04-13,True
E10083,Priya,Tanaka,Finance,5750.58,2019-06-02,True
E10084,Fatima,Silva,Marketing,7746.97,2022-11-11,True
E10085,Aarav,Costa,Support,11382.12,2023-07-02,False
E10086,Zofia,Rossi,Marketing,8379.93,2024-08-18,True
E10087,Mateo,Mensah,Marketing,5431.18,2025-07-24,False
E10088,Jonas,Mensah,People,9300.44,2022-07-13,True
